Date,Aesoo,Ahja,Alajõe,Arbavere,Audru,Elva,Hüüru,Kaansoo,Kääpa,Kasari,Kehra,Keila,Kirumpää,Kloostrimetsa,Konuvere,Korela,Laadi,Lüganuse,Luguse,Narva karjääri,Narva linn,Nurme,Oore,Pajupea,Pajusi,Põhjaka 1,Põhjaka 2,Pudisoo,Rannu-Jõesuu,Räpina,Reola,Riisa,Roostoja,Sämi,Separa,Taheva,Tahkuse,Tänassilma,Tartu,Tarvastu,Toila-Oru,Tõlliste,Tori,Tõrva,Tõrve,Tudulinna,Türi-Alliku,Uue-Lõve,Valgu,Vanaküla,Varangu,Vasknarva,Vihterpalu,Vodja
2009-01-01,57.0,105.0,62.0,93.54,119.42,30.66,62.0,87.08,171.0,57.0,90.0,105.87,,125.36,90.89,68.76,94.88,53.0,77.0,110.96,159.13,74.68,74.0,66.0,137.0,41.0,60.0,53.0,149.0,39.0,47.0,90.0,106.0,208.0,,139.35,48.0,47.6,185.0,75.39,48.0,110.0,80.0,171.0,28.0,50.0,48.0,35.0,61.28,43.0,,98.0,91.0,61.0
2009-01-02,58.0,117.0,84.0,91.83,124.0,40.29,70.0,77.75,186.0,50.0,83.0,97.62,,125.21,84.76,60.67,88.02,49.0,117.0,108.6,159.32,77.12,66.0,73.0,132.0,53.0,57.0,53.0,148.0,43.0,69.0,99.0,99.0,201.0,,121.15,62.0,46.6,181.0,70.65,56.0,111.0,68.0,171.0,18.0,56.0,45.0,33.0,75.51,50.0,,98.0,92.0,60.0
2009-01-03,66.0,113.0,107.0,93.57,133.54,56.57,85.0,82.52,196.0,57.0,85.0,100.54,,120.33,81.66,61.77,91.74,49.0,117.0,113.36,147.47,93.66,65.0,66.0,129.0,97.0,57.0,54.0,147.0,26.0,83.0,97.0,96.0,190.0,,108.0,71.0,43.81,187.0,68.85,64.0,117.0,65.0,172.0,12.0,82.0,59.0,31.0,77.95,58.0,,98.0,105.0,58.0
2009-01-04,81.0,98.0,107.0,90.24,127.37,59.82,89.0,77.3,198.0,64.0,99.0,107.52,,121.73,85.74,61.03,91.44,49.0,105.0,120.08,129.85,96.2,76.0,58.0,132.0,100.0,56.0,56.0,147.0,10.0,84.0,105.0,96.0,188.0,,119.85,73.0,38.99,184.0,70.43,71.0,109.0,67.0,174.0,23.0,101.0,72.0,29.0,73.88,67.0,,98.0,108.0,58.0
2009-01-05,88.0,101.0,101.0,91.67,117.65,52.4,85.0,72.63,190.0,67.0,107.0,110.47,,127.02,85.29,62.37,88.55,47.0,89.0,119.02,139.82,94.56,95.0,57.0,135.0,97.0,55.0,56.0,146.0,27.0,81.0,109.0,96.0,193.0,,133.7,74.0,33.8,181.0,69.41,79.0,97.0,69.0,170.0,29.0,120.0,84.0,28.0,68.99,81.0,,98.0,107.0,56.0
2009-01-06,90.0,99.0,82.0,105.9,111.84,40.92,77.0,69.35,180.0,66.0,106.0,102.04,,132.12,87.48,61.87,86.64,46.0,80.0,116.26,184.72,85.54,105.0,55.0,139.0,92.0,55.0,60.0,146.0,35.0,78.0,107.0,97.0,186.0,,141.12,74.0,30.73,176.0,68.87,87.0,92.0,70.0,166.0,33.0,111.0,94.0,28.0,65.14,92.0,,99.0,100.0,56.0
2009-01-07,81.0,100.0,74.0,88.32,111.73,33.94,71.0,69.74,170.0,69.0,105.0,93.77,,135.71,88.57,63.35,85.84,45.0,77.0,113.68,140.68,74.05,98.0,55.0,129.0,40.0,54.0,63.0,146.0,38.0,63.0,97.0,103.0,196.0,,144.18,76.0,29.76,174.0,69.31,101.0,93.0,75.0,165.0,28.0,99.0,86.0,27.0,64.43,97.0,,101.0,93.0,56.0
2009-01-08,69.0,97.0,68.0,92.88,111.15,29.1,66.0,69.93,163.0,65.0,104.0,94.12,,147.0,75.94,62.93,85.31,41.0,76.0,107.13,155.03,68.06,98.0,55.0,134.0,47.0,54.0,65.0,145.0,33.0,56.0,87.0,101.0,189.0,,149.07,73.0,28.97,174.0,69.73,105.0,91.0,69.0,164.0,27.0,82.0,63.0,27.0,64.76,106.0,,102.0,92.0,54.0
2009-01-09,65.0,98.0,68.0,98.11,111.07,30.32,64.0,69.18,158.0,63.0,98.0,90.92,,151.09,81.15,61.58,86.36,41.0,81.0,107.77,154.75,62.66,99.0,60.0,131.0,58.0,54.0,67.0,145.0,28.0,51.0,82.0,95.0,181.0,,149.83,74.0,29.71,177.0,73.54,108.0,91.0,71.0,164.0,25.0,73.0,65.0,28.0,63.68,109.0,,102.0,82.0,54.0
2009-01-10,60.0,99.0,68.0,86.89,111.71,29.72,61.0,71.0,155.0,59.0,97.0,89.5,,152.13,78.3,65.82,86.91,42.0,106.0,112.71,151.78,59.69,91.0,59.0,133.0,39.0,54.0,68.0,144.0,28.0,48.0,77.0,96.0,198.0,,151.8,72.0,30.52,177.0,72.91,105.0,96.0,70.0,165.0,21.0,66.0,40.0,30.0,61.68,113.0,,101.0,79.0,53.0
2009-01-11,56.0,99.0,66.0,86.26,111.95,28.56,59.0,72.37,153.0,52.0,93.0,89.27,,150.74,77.02,65.93,88.45,41.0,123.0,113.91,174.94,59.44,90.0,60.0,142.0,38.0,53.0,68.0,143.0,27.0,49.0,74.0,96.0,197.0,,151.79,73.0,31.11,176.0,72.4,100.0,98.0,69.0,166.0,21.0,59.0,37.0,33.0,59.75,114.0,,96.0,76.0,53.0
2009-01-12,57.0,101.0,66.0,88.45,114.57,26.95,64.0,78.46,153.0,51.0,91.0,93.2,,145.38,83.72,65.53,90.9,44.0,179.0,113.44,183.23,70.01,83.0,62.0,145.0,42.0,60.0,58.0,143.0,27.0,52.0,74.0,98.0,195.0,,150.64,74.0,34.42,180.0,70.97,77.0,100.0,78.0,161.0,23.0,57.0,44.0,54.0,64.11,109.0,,94.0,79.0,63.0
2009-01-13,75.0,104.0,68.0,98.27,120.88,31.64,85.0,98.18,157.0,64.0,98.0,111.2,,147.82,110.53,64.56,99.12,61.0,236.0,115.01,175.34,108.6,104.0,77.0,141.0,57.0,77.0,59.0,143.0,36.0,62.0,89.0,112.0,203.0,,148.3,95.0,44.28,184.0,73.52,51.0,103.0,101.0,169.0,35.0,79.0,65.0,83.0,73.42,107.0,,93.0,113.0,79.0
2009-01-14,103.0,105.0,75.0,102.79,139.73,32.87,96.0,126.84,160.0,102.0,108.0,128.35,,149.38,141.65,63.41,114.88,77.0,217.0,116.19,168.64,163.65,148.0,85.0,142.0,59.0,80.0,63.0,142.0,25.0,66.0,116.0,143.0,221.0,,143.46,119.0,53.99,186.0,80.09,55.0,107.0,114.0,173.0,62.0,102.0,78.0,93.0,82.06,105.0,,92.0,154.0,77.0
2009-01-15,117.0,109.0,78.0,101.17,136.58,35.48,79.0,142.33,162.0,108.0,114.0,132.25,,146.36,134.25,63.61,124.29,87.0,181.0,116.16,150.77,157.58,165.0,81.0,149.0,56.0,78.0,65.0,142.0,24.0,67.0,138.0,161.0,232.0,,140.04,121.0,63.81,190.0,84.07,56.0,112.0,116.0,178.0,73.0,118.0,79.0,87.0,81.82,102.0,,90.0,164.0,72.0
